,,,,,,trt,C,C,C,C,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,C,T,T,T,T,T,T,T,T,T,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,lim,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
,,,,,,cID,N1,N1,N1,N1,N2,N2,N2,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N2,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N3,N3,N3,N3,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N1,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N5,N5,N2,N2,N5,N5,NA,NA,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P3,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P3,P2,P2,P2,P2,P2,P4,P4,P4,P4,P5,P2,P2,P2,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P4,P5,P5,P5,P5,P5
,,,,,,daynumber,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,166,166,166,166,NA,-125,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,166,166,166,166,166,166,166,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,129,129,129,166,166,166,166,166,166,166,166,166,166,166,166,166
,,,,,,tm.pt,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,WH8101,WH7803,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,iso,2,3,4,5,1,3,4,2,3,1,3,4,2,3,4,5,1,3,4,5,1,1,2,3,4,5,2,4,1,3,5,4,2,2,4,5,2,3,4,4,1,3,5,4,2,1,3,5,2,4,1,2,3,4,4,1,1,4,1,2,3,5,1,4,5,5,1,2,4,2,3,1,4,5,1,1,2,5,5,2,3,4,2,3,5,NA,4,2,3,4,5,1,2,4,5,1,5,1,2,4,5,1,2,3,5,4,1,2,3,4,5,1,2,4,3,2,3,4,5,2,1,3,4,5,1,2,4,3,2,1,3,4,5,4,2,1,3,3,5,1,3,4,5,2,1,2,3,4,5,2,3,4,5,1,2,3,4,3,5,4,1,2,3,5,1,4,5,4,2,1,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,4,5,3,4,1,2,1,2,3,4,5,2,2,1,3,4,5,1,2,5,2,3,5,3,4,5,2,2,2,4,1,1,2,4,3,5
trt,lim,cID,daynumber,tm.pt,iso,iso.id,1N12,1N13,1N14,1N15,1N21,1N23,1N24,1N32,1N33,1N51,1N53,1N54,3N12,3N13,3N14,3N15,3N11,3N23,3N24,3N25,3N21,3N31,3N32,3N33,3N34,3N35,3N52,3N54,3N51,5N13,5N15,5N14,5N12,5N12,5N24,5N25,5N32,5N33,5N34,5N34,12N11,12N13,12N15,12N14,12N12,12N21,12N23,12N25,12N22,12N24,12N31,12N32,12N33,12N34,12N54,16N11,16N21,16N34,16N31,16N32,16N33,16N35,16N51,16N54,16N55,19N15,19N11,19N12,19N14,19N22,19N23,19N21,19N24,19N25,19N31,19N31,19N32,19N35,19N55,19N52,19N53,21N24,21N22,21N53,21N55,WH8101NANA,WH7803NA4,1P12,1P13,1P14,1P15,1P31,1P32,1P34,1P35,3P11,3P15,3P31,3P32,3P34,3P35,5P11,5P12,5P13,5P15,5P14,5P31,5P32,5P33,5P34,5P35,12P11,12P12,12P14,12P13,12P32,12P33,12P34,12P35,16P12,16P11,16P13,16P14,16P15,16P31,16P32,16P34,16P33,19P12,19P11,19P13,19P14,19P15,19P34,19P32,19P31,19P33,21P13,21P15,21P31,21P33,21P34,21P35,21P32,1P21,1P22,1P23,1P24,1P25,1P42,1P43,1P44,1P45,1P51,3P22,3P23,3P24,3P53,3P55,3P54,5P21,5P22,5P23,5P25,5P41,5P44,5P45,5P54,5P52,5P51,5P55,12P21,12P22,12P23,12P24,12P25,12P41,12P42,12P43,12P44,12P45,12P51,12P52,12P53,12P54,12P55,16P21,16P22,16P23,16P25,16P24,16P45,16P43,16P44,16P41,16P42,16P51,16P52,16P53,16P54,16P55,19P22,19P22,19P21,19P23,19P24,19P25,19P41,19P42,19P45,19P52,19P53,19P55,21P23,21P24,21P25,21P22,21P42,21P42,21P44,21P41,21P51,21P52,21P54,21P53,21P55
T,NA,RIM8-1,0,NA,1,NARIM8-11,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,1,0,1,1,,1,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,9,3,1,3N21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,9,3,2,3N22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,9,3,1,3N31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
